Days,ID,treat,Plant,Mandarin,WT,DO,OSS,TN,DTN,TP,DTP,Chl,CH4,CO2,ChlTN,ChlTP,Carpbiomass,Mandarinbiomass,Carpnumber,Daphnia,Cladoceran,Copepod,Rotifer,Total,Phytoplankton,zppp,Cyanophyta,Bacillariophyta,Pyrrophyta,Chrysophyta,Cryptophyta,Euglenophyta,Chlorophyta,Cla,Cop,Rot,Zoopsize
15,8,HPMP,High,Present,26.5,4.45,1.6,0.95,0.65,0.0106,0.0032,5.3,1.8494122,-187.5493746,5.578947368,500,,,,,,,,,,,,,,,,,,,,,
15,9,HPMP,High,Present,26.7,4.95,4.4,0.63,0.45,0.0087,0.0041,9.7,1.59841222,-190.4654036,15.3968254,1114.942529,,,,,,,,,,,,,,,,,,,,,
15,12,HPMP,High,Present,26.6,4.68,1.8,0.66,0.43,0.0073,0.0044,5.9,1.4643917,-150.1780415,8.939393939,808.2191781,,,,,,,,,,,,,,,,,,,,,
18,1,LPMA,Low,Absent,27.3,7.12,7.2,0.77,0.48,0.0117,0.0042,14.7,2.284542,-281.2103083,19.09090909,1256.410256,,,,,,,,,,,,,,,,,,,,,
18,2,LPMA,Low,Absent,27.3,5.94,2.8,0.83,0.53,0.0103,0.003,8.6,1.88643453,-274.9003473,10.36144578,834.9514563,,,,,,,,,,,,,,,,,,,,,
18,4,LPMA,Low,Absent,27.2,6.34,7,0.57,0.55,0.0073,0.0042,10.1,2.0488076,-237.1524511,17.71929825,1383.561644,,,,,,,,,,,,,,,,,,,,,
18,3,LPMP,Low,Present,27.2,5.16,2,0.66,0.5,0.0084,0.0047,6.9,1.6075547,-162.8441849,10.45454545,821.4285714,,,,,,,,,,,,,,,,,,,,,
18,5,LPMP,Low,Present,27.2,5.32,1.8,0.58,0.5,0.008,0.0039,5.6,1.2698276,-95.1831897,9.655172414,700,,,,,,,,,,,,,,,,,,,,,
18,6,LPMP,Low,Present,27.3,5.37,1.2,0.57,0.44,0.007,0.0031,5.7,1.7852356,-162.5331785,10,814.2857143,,,,,,,,,,,,,,,,,,,,,
18,7,HPMA,High,Absent,27.1,5.38,5.4,0.64,0.45,0.0109,0.0034,9,1.8423765,-196.6146006,14.0625,825.6880734,,,,,,,,,,,,,,,,,,,,,
18,10,HPMA,High,Absent,27.2,5.36,2.2,0.62,0.56,0.0068,0.0028,7.1,1.6242941,-164.8211335,11.4516129,1044.117647,,,,,,,,,,,,,,,,,,,,,
18,11,HPMA,High,Absent,27.3,5.54,2.4,0.57,0.51,0.0076,0.0036,7.3,1.5189455,-243.8058036,12.80701754,960.5263158,,,,,,,,,,,,,,,,,,,,,
18,8,HPMP,High,Present,27.2,5.21,1.8,0.69,0.5,0.0083,0.0033,6.4,1.6319758,-112.8459821,9.275362319,771.0843373,,,,,,,,,,,,,,,,,,,,,
